Avg_Hosp,Facility ID,State,Period,Claim Type,Avg_State,Avg_Nation,Percent_Hosp,Percent_State,Percent_Nation
2144.0,50017,5,3,5,3762.0,3228.0,0.0962,0.16870000000000002,0.1491
25641.0,450040,43,4,8,23343.0,21646.0,1.0,1.0,1.0
521.0,190313,19,1,7,575.0,585.0,0.0329,0.0256,0.027000000000000003
583.0,450888,43,3,7,1398.0,1174.0,0.0235,0.0599,0.0542
0.0,390150,38,2,1,0.0,0.0,0.0,0.0,0.0
9.0,370083,36,1,1,19.0,13.0,0.0006,0.0009,0.0006
11.0,70027,7,1,1,19.0,13.0,0.0006,0.0009,0.0006
0.0,50690,5,1,3,4.0,7.0,0.0,0.0002,0.0003
19.0,420078,40,2,6,20.0,19.0,0.0008,0.0009,0.0009
17.0,150056,16,1,6,8.0,8.0,0.0007000000000000001,0.0004,0.0004
2.0,250019,25,1,3,4.0,7.0,0.0001,0.0002,0.0003
65.0,50140,5,3,6,88.0,89.0,0.0028000000000000004,0.0039000000000000003,0.0040999999999999995
2.0,190027,19,1,5,3.0,2.0,0.0001,0.0001,0.0001
0.0,310016,31,2,4,0.0,0.0,0.0,0.0,0.0
8.0,140114,15,2,6,20.0,19.0,0.0003,0.0009,0.0009
0.0,40041,3,1,2,1.0,1.0,0.0,0.0,0.0
10.0,500054,47,1,1,7.0,13.0,0.0004,0.0004,0.0006
1985.0,50471,5,2,7,1651.0,1545.0,0.0748,0.07400000000000001,0.07139999999999999
5.0,670073,43,1,4,140.0,152.0,0.0002,0.006,0.006999999999999999
916.0,60125,6,3,1,765.0,825.0,0.044500000000000005,0.0342,0.0381
8.0,530006,50,1,6,10.0,8.0,0.0004,0.0005,0.0004
18727.0,390035,38,4,8,21471.0,21646.0,1.0,1.0,1.0
529.0,150057,16,3,4,1006.0,855.0,0.0276,0.0462,0.0395
1270.0,340051,27,3,3,2294.0,2857.0,0.066,0.1115,0.132
2516.0,150125,16,3,5,3749.0,3228.0,0.1075,0.1721,0.1491
11610.0,50038,5,2,3,10415.0,10139.0,0.4985,0.4669,0.46840000000000004
1625.0,390331,38,3,3,3249.0,2857.0,0.1255,0.15130000000000002,0.132
9419.0,520089,48,2,3,10350.0,10139.0,0.48960000000000004,0.5015,0.46840000000000004
1.0,10065,2,1,5,2.0,2.0,0.0001,0.0001,0.0001
211.0,50586,5,3,2,156.0,149.0,0.0111,0.006999999999999999,0.0069
862.0,140008,15,3,4,918.0,855.0,0.0395,0.042199999999999994,0.0395
0.0,240064,23,2,2,0.0,0.0,0.0,0.0,0.0
3634.0,220031,20,3,3,2752.0,2857.0,0.1519,0.1324,0.132
0.0,380051,37,2,2,0.0,0.0,0.0,0.0,0.0
8.0,360068,35,1,1,12.0,13.0,0.0003,0.0005,0.0006
19558.0,100302,10,4,8,21985.0,21646.0,1.0,1.0,1.0
0.0,220029,20,2,5,0.0,0.0,0.0,0.0,0.0
479.0,190278,19,3,7,1092.0,1174.0,0.0175,0.048600000000000004,0.0542
116.0,100204,10,3,6,93.0,89.0,0.0054,0.0042,0.0040999999999999995
11.0,10039,2,1,1,16.0,13.0,0.0005,0.0008,0.0006
7621.0,490111,45,2,3,10041.0,10139.0,0.4233,0.48560000000000003,0.46840000000000004
1016.0,520059,48,3,1,552.0,825.0,0.0547,0.026699999999999998,0.0381
2455.0,30016,4,3,5,2112.0,3228.0,0.12390000000000001,0.0964,0.1491
922.0,440111,42,2,7,1487.0,1545.0,0.0431,0.0677,0.07139999999999999
0.0,170196,17,3,2,134.0,149.0,0.0,0.0062,0.0069
17.0,180017,18,1,1,13.0,13.0,0.0009,0.0006,0.0006
